,X,Season_playerid,PA,X1B,X2B,HR,R,RBI,BB,IBB,SO,GDP,SB,CS,AVG,BB.,K.,BB.K,OBP,SLG,ISO,BABIP,wRC,WAR,Spd,wRC.,WPA,SAC
30,30,1981 _ 1011586,-2.360350511,-1.007171825,-0.054588462,2.522232654,2.21349773,2.479107569,2.203733645,3.851756215,-0.461252904,-0.083181866,0.424506244,-0.134462171,1.420148238,16.80%,16.40%,0.52686032,2.427709198,2.789538427,2.69851082,0.617221516,0.552826025,2.331885277,0.375190696,3.444924416,2.088955478,-0.847643426
31,31,1969 _ 1008423,0.298824312,-1.126933944,-0.227269895,2.569050542,1.474576638,2.274522853,2.952664673,7.487064824,0.605626121,0.285898092,-0.880346877,1.174148794,1.565171313,19.40%,10.60%,2.172136548,2.92084136,2.9511557,2.827056156,-0.321654465,2.437103194,2.379503235,-1.519258101,3.285940483,NA,-0.265742175
32,32,1971 _ 1000001,-0.404661091,-0.347653632,-0.509193783,3.140343165,1.628839027,2.376027107,0.928776322,3.281406177,0.692918054,0.51946957,-0.797987038,0.926357713,1.818961694,12.40%,10.10%,0.917613424,1.742803417,3.126241079,2.90739699,-0.256904397,1.837560458,1.998559571,-1.030368089,3.166702534,NA,-0.603556372
33,33,2001 _ 818,0.974170299,-1.099352906,2.163049771,1.659067093,1.488231812,1.629959409,2.895926919,3.17719192,0.277044256,-0.634016914,-0.739684618,1.174148794,2.362798226,19.20%,12.40%,1.596289868,3.578350909,3.005028124,2.521760983,1.426597362,3.464890741,2.99853669,-0.908145586,3.2461945,3.740673402,0.027241472
34,34,2001 _ 302,1.536958621,-1.613184585,0.286608702,3.606419047,3.288888654,2.901969321,2.05830757,5.10046984,-1.415994201,1.39016732,-0.880346877,0.774755574,1.855217463,16.30%,21.50%,-0.028420407,2.48250166,4.042072293,4.000032345,1.199972125,3.850311071,3.331862397,-0.419255574,2.967972619,2.714458124,0.4935714
35,35,1951 _ 1014040,1.030449131,-0.296822504,-0.24855189,0.948111222,1.447827373,1.845526998,3.502784942,NA,1.332336653,0.626329267,-0.810432524,0.963801698,1.492659776,21.30%,6.70%,4.989672087,3.222199903,1.604345091,1.236307625,0.196346076,2.779699043,1.998559571,-0.847034334,2.173052957,NA,NA
36,36,1954 _ 1007020,0.805333802,-0.161944897,-0.163518966,2.692950992,1.29392913,2.597039653,0.769078317,NA,1.583180135,0.219660333,-0.880346877,0.743240479,1.782705926,11.80%,5.30%,2.994774661,1.660614723,2.762602215,2.505692816,-0.645404803,2.522752156,2.141413445,-1.213701844,2.093560991,NA,-0.756820661
37,37,2015 _ 11579,0.734985262,-0.975810708,1.15489013,2.101730707,2.243073183,0.873833979,2.81970825,1.66052631,-1.140573743,-0.34655432,-0.447391025,0.305743353,1.927729001,19.00%,20.00%,0.362332697,3.112614978,2.856878957,2.553897317,2.268348242,2.993821449,3.046154649,-0.724811831,3.405178433,2.484781371,-0.954808562
38,38,2003 _ 1177,1.171146212,0.133683557,2.53520544,2.017351285,3.064560964,1.690103317,0.681784606,1.020193085,0.810071724,0.127571551,-0.535878352,0.966872459,2.979146295,11.50%,9.50%,0.917613424,2.537294122,3.099304867,2.37714748,1.523722464,3.379241779,3.141390565,-0.419255574,2.888480653,2.58251616,-0.795580318
39,39,2001 _ 455,-0.010709265,-0.137611761,1.166060033,2.043848878,2.142693801,2.340927161,1.289443983,0.129595875,-0.605338451,0.607134257,0.218971975,-0.007084897,2.652844376,13.60%,17.10%,0.053843405,2.811256435,3.031964337,2.441420148,2.430223411,2.608401119,2.236649361,0.436301948,2.053815008,2.259991358,0.013557902
